episode,total_reward,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
11,-1781.39055219,-0.389580095566,0.0235245402721,0.0,0.0296904155115,1.2506740798,0.0,-1.78336057632,-0.176012104085,-4.13775775828,19.0251764368,-14.0248703852,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
12,-2615.5084714,-0.123800554156,0.0740846746082,0.0,1.46357910382,4.03575635703,0.0,-0.33908709611,0.312208442047,-3.30787357253,19.9790665483,-24.316718704,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
13,-2488.51462608,-0.149645523749,0.139867104824,0.0,3.51913920053,1.19385597887,0.0,-0.529046884403,0.525860454261,-3.33111979981,18.2010551072,-23.9424757629,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
14,-2287.89132085,0.189170010748,0.326801340036,0.0,3.22982805199,4.17561802049,0.0,1.26397181147,1.41808087599,-3.3029985166,17.4862330662,-25.722785987,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
15,-3146.74619974,0.410768710969,0.029503915644,0.0,3.88557061894,0.106235632299,0.0,1.34636440318,0.48656129261,-3.23242606498,22.2252413573,-28.1979190959,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
16,-3419.06034424,-0.0934993349524,0.183743805679,0.0,3.91012908886,1.28403887436,0.0,-1.73099868065,0.461846119954,-4.1495803004,27.8376391525,-27.5168924849,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
17,-4137.63285874,-0.277459816599,0.170561318636,0.0,2.34054865379,0.204636177071,0.0,-2.58163992421,1.06109910753,-2.76336131302,28.501846116,-28.4066088107,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
18,-3744.74816646,0.347069429468,-0.150534360718,0.0,4.31946612675,3.26031367688,0.0,2.536873252,-0.47229041477,-3.14881915133,28.662525035,-28.5090966497,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
19,-3098.75883602,-0.125238923493,-0.159298834644,0.0,4.64005856982,1.5825949596,0.0,-1.8957859972,-0.757429766363,-3.65454284747,28.4128047948,-28.3372553524,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
20,-2469.33880232,0.043248326011,0.18070769442,0.0,4.36860663659,5.63421722753,0.0,0.622077572686,1.10219680111,-3.54556326196,27.6584392517,-27.6156315758,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
21,-3685.32862111,-0.377585485081,0.289347822924,0.0,3.05349363598,0.312096139732,0.0,-3.0940051128,1.24736700407,-3.99980627128,28.3038844021,-28.5047776308,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
22,-2899.45278847,-0.554450690364,0.234806111067,0.0,3.87891551858,3.38925485658,0.0,-2.17905217356,0.20223556045,-3.15168724579,19.0084031801,-28.1213119926,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
23,-5502.64813796,-0.548574592052,-0.247053590685,0.0,5.47450451001,1.76483608102,0.0,0.494544349935,0.084205618342,-2.90766669177,28.4081174142,-28.3930024217,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
24,-3170.67743726,0.0961494712367,-0.427483970878,0.0,5.92144149536,4.40091280789,0.0,1.61130384388,-1.74952876184,-3.75700463419,28.447521428,-28.2320745203,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
25,-4602.26599142,-0.35219593366,-0.726308308239,0.0,2.17505712185,3.94874835293,0.0,0.842400228554,-1.71119358516,-2.38865790246,28.7961723828,-22.2837366628,0.0,480.6277515552592,479.12876931743233,478.6232843989871,478.4127873974393
